customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_segment,aov,ltv,segment_label
CUS000001,101,9,99059000.00,4,5,5,455,11006556,99059000,Champions
CUS000002,136,9,115543000.00,2,5,5,255,12838111,115543000,At Risk
CUS000003,144,4,53685000.00,2,2,3,223,13421250,53685000,Hibernating
CUS000004,139,3,42819000.00,2,1,2,212,14273000,42819000,Hibernating
CUS000005,125,6,103481000.00,2,4,5,245,17246833,103481000,At Risk
CUS000006,103,3,20019500.00,4,1,1,411,6673167,20019500,New / Promising
CUS000007,157,4,49739000.00,1,2,3,123,12434750,49739000,Hibernating
CUS000008,186,2,26820500.00,1,1,1,111,13410250,26820500,Hibernating
CUS000009,191,1,15381000.00,1,1,1,111,15381000,15381000,Hibernating
CUS000010,98,6,110717000.00,4,4,5,445,18452833,110717000,Champions
CUS000011,139,6,57053000.00,2,4,3,243,9508833,57053000,At Risk
CUS000012,87,9,108181500.00,5,5,5,555,12020167,108181500,Champions
CUS000013,105,5,85871000.00,3,3,4,334,17174200,85871000,Loyal
CUS000014,191,2,22739000.00,1,1,1,111,11369500,22739000,Hibernating
CUS000015,116,4,60967500.00,3,2,3,323,15241875,60967500,Need Attention
CUS000016,101,4,63229000.00,4,2,3,423,15807250,63229000,New / Promising
CUS000017,170,4,64359500.00,1,2,4,124,16089875,64359500,Hibernating
CUS000018,97,7,129496000.00,4,4,5,445,18499429,129496000,Champions
CUS000019,101,3,11843000.00,4,1,1,411,3947667,11843000,New / Promising
CUS000020,131,3,40351000.00,2,1,2,212,13450333,40351000,Hibernating
